ID_mesh	Pais	Categoria	Nome	Year	0	3	11	12	15	33	4	41
1	Brasil	Terra Indígena	Uaçá I e II	1985	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1986	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1987	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1988	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1989	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1990	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1991	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1992	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1993	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1994	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1995	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1996	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1997	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1998	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	1999	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2000	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2001	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2002	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2003	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2004	NA	11877	10	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2005	NA	11877	10	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2006	NA	11877	10	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2007	NA	11877	10	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2008	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2009	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2010	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2011	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2012	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2013	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2014	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2015	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2016	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2017	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2018	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2019	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2020	NA	11887	NA	NA	NA	NA	NA	NA
1	Brasil	Terra Indígena	Uaçá I e II	2021	NA	11887	NA	NA	NA	NA	NA	NA
2	Brasil	Terra Indígena	Uaçá I e II	1985	NA	25054	NA	81	NA	NA	NA	NA
2	Brasil	Terra Indígena	Uaçá I e II	1986	NA	25054	NA	81	NA	NA	NA	NA
2	Brasil	Terra Indígena	Uaçá I e II	1987	NA	25054	NA	81	NA	NA	NA	NA
2	Brasil	Terra Indígena	Uaçá I e II	1988	NA	25040	NA	95	NA	NA	NA	NA
2	Brasil	Terra Indígena	Uaçá I e II	1989	NA	25040	NA	95	NA	NA	NA	NA
